State,Abbreviation,available for return to tribes under NAGPRA.,Native American remains
Alabama,AL,86,23900
Alaska,AK,63,3000
Arizona,AZ,67,17400
Arkansas,AR,82,4900
California,CA,70,25100
Colorado,CO,87,4100
Connecticut,CT,16,200
Delaware,DE,0,7
District of Columbia,DC,NULL,NULL
Florida,FL,20,7600
Georgia,GA,42,1800
Hawaii,HI,97,3800
Idaho,ID,18,100
Illinois,IL,2,15500
Indiana,IN,35,3000
Iowa,IA,86,1400
Kansas,KS,19,1200
Kentucky,KY,22,6600
Louisiana,LA,68,1900
Maine,ME,99,300
Montana,MT,70,100
Nebraska,NE,96,3100
Nevada,NV,73,700
New Hampshire,NH,98,56
New Jersey,NJ,96,400
New Mexico,NM,73,10700
New York,NY,77,3600
North Carolina,NC,30,1700
North Dakota,ND,70,400
Ohio,OH,0.4,10900
Oklahoma,OK,41,4200
Oregon,OR,85,1300
Maryland,MD,0,100
Massachusetts,MA,93,900
Michigan,MI,79,3100
Minnesota,MN,93,2100
Mississippi,MS,57,2200
Missouri,MO,15,3800
Pennsylvania,PA,14,2100
Rhode Island,RI,71,100
South Carolina,SC,20,400
South Dakota,SD,97,3000
Tennessee,TN,63,11900
Texas,TX,26,4400
Utah,UT,27,1800
Vermont,VT,80,20
Virginia,VA,28,1300
Washington,WA,91,2300
West Virginia,WV,66,1600
Wisconsin,WI,39,3300
Wyoming,WY,75,200
